Steward,Boat Launch,Weather Conditions,Date,Inspection Time,Boat Type,Group Size,State of Registration,Launch or Retrieve,Prior BLS contact?,Spread Prevention Steps,Aquatic Organisms Found?,Species ID,Accepted Info Materials?,Last Waterbody Visited,Last Waterbody Cleaned,Next Waterbody to Visit,Next Waterbody Cleaned,Planned Travel Route,Would Use a Decontamination Station?,Purpose,Notes
4,Cape Vincent,"Clear and breezy, choppy water",6/22/2016,9:45:00,M,3,NY,L,Y,CDD,N,N/A,N,None,None,Lake Ontario,Lake Ontario,Rt 12E,Y,N/A, Stays around Cape Vincent
4,Cape Vincent,"Clear and breezy, choppy water",6/22/2016,10:55:00,M,2,NY,L,N,"WB,DB",N,N/A,Y,St. Lawrence River,St. Lawrence River,St. Lawrence River,St. Lawrence River,Rt 12E,Y,N/A,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:00:00,M,2,NY,L,Y,CDD,N,N/A,Y,St. Lawrence River,St. Lawrence River,Lake Ontario,Lake Ontario,Local roads,Y,N/A, Only stays in the St. Lawrence and at this spot
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:05:00,M,2,NY,L,N,CDD,N,N/A,Y,Millers Bay,"Millers Bay, NY",N/A,N/A,Local roads,Y,N/A,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:10:00,M,2,NY,R,N,CDD,N,N/A,N,Lake Ontario,Lake Ontario,N/A,N/A,Rt 12 and Rt 26,N/A,N/A,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:15:00,M,1,NY,R,Y,"DB,RW",N,N/A,Y,St. Lawrence River,St. Lawrence River,Millers Bay,"Millers Bay, NY",James St,N/A,N/A,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,14:10:00,M,1,NY,L,N,CDD,N,N/A,Y,None,None,St. Lawrence River,St. Lawrence River,Local roads,N/A,N/A, Stays in St. Lawrence 
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,14:30:00,M,4,NY,R,Y,"RW,DB,WB",N,N/A,N,St. Lawrence River,St. Lawrence River,Lake Ontario,Lake Ontario,Local roads,N/A,N/A, Stays at Cape Vincent
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,14:50:00,M,2,NY,R,Y,CDD,Y,EL,Y,St. Lawrence River|Cape Vincent|Port Saubrigons,"St. Lawrence River|Cape Vincent, NY|Port Saubrigons, NY",N/A,N/A,Rt 12E and local rds,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,10:45:00,M,2,NY,L,N,CDD,N,N/A,Y,None,None,Clayton,"Clayton, NY",By Water,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,11:45:00,M,2,NY,L,Y,CDD,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Local,Undecided,N/A,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,13:20:00,M,2,NY,L,Y,CDD,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Local,Undecided,N/A,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,13:20:00,M,1,NY,R,N/A,CDD,Y,CLP,Y,Cape Vincent,"Cape Vincent, NY",Local,Undecided,N/A,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,14:40:00,M,5,NY,R,N,CDD,N,N/A,N,None,None,"Montreal, Canada","Montreal, Canada",N/A,N/A,N/A, Lives in Canada
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,15:00:00,M,2,NY,R,Y,"CDD,RW,BB",N,N/A,N,Lake Ontario,Lake Ontario,Not specified,Undecided,N/A,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,15:10:00,M,2,VA,R,N,None,Y,CLP,Y,Pt. Pleasant|Clayton,"Pt. Pleasant, NY|Clayton, NY",Millers Bay,"Millers Bay, NY",Rt 12E,N/A,N/A,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,15:45:00,S,3,NY,L,N,CDD,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A, Part of Cape Vincent's re-enactment troupe
4,Cape Vincent,"Clear, calm water",6/25/2016,10:10:00,M,2,NY,L,Y,CDD,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Clayton,"Clayton, NY",By Water,N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,10:50:00,M,2,NY,L,Y,CDD,N,N/A,Y,N/A,N/A,Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,11:45:00,M,3,NY,L,Y,CDD,N,N/A,Y,Lake Ontario,Lake Ontario,Oswego Harbor,"Oswego Harbor, NY",Rt 3,N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,12:40:00,M,3,NY,L,N,WB,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Local,Undecided,Local roads,N/A,N/A, stays in town
4,Cape Vincent,"Clear, calm water",6/25/2016,12:50:00,M,1,NY,L,N,"RW,DRY",N,N/A,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,13:25:00,M,2,NY,R,Y,"DB,WB",N,N/A,N,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,13:40:00,M,2,NY,L,N,CDD,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Millers Bay,"Millers Bay, NY",Local roads,N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,14:50:00,M,1,NY,R,N,"DB,WB",Y,EWM,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A, Boater would not answer some of the questions
4,Cape Vincent,"Clear, calm water",6/25/2016,15:15:00,K,2,NY,R,Y,DB,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",N/A,N/A,9 (County Rd),N/A,N/A,
4,Cape Vincent,"Clear, calm water",6/25/2016,16:10:00,PWC,3,NY,L,N,CDD,N,N/A,Y,Millers Bay,"Millers Bay, NY",Cape Vincent,"Cape Vincent, NY",Rt 12E,N/A,N/A,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,10:45:00,M,2,DL,L,N,CDD,N,N/A,Y,Henderson|Mud Bay,"Henderson Harbor, NY|Mud Bay, NY",St. Lawrence River,St. Lawrence River,By Water,N/A,N/A,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,11:10:00,M,2,NY,L,Y,CDD,N,N/A,Y,Cape Vincent,"Cape Vincent, NY",Not specified,Undecided,Local roads,N/A,N/A,
4,Cape Vincent,"Hazey, water fairly calm",6/26/2016,11:30:00,M,3,PA,R,Y,CDD,N,N/A,N,Cape Vincent,"Cape Vincent, NY",Cape Vincent,"Cape Vincent, NY",Local roads,N/A,N/A, Boater stays in Cape Vincent
