Steward,Boat Launch,Boat Launch Coords,Weather Conditions,Date,Inspection Time,Boat Type,Group Size,State of Registration,Launch or Retrieve,Prior BLS contact?,Spread Prevention Steps,Aquatic Organisms Found?,Species ID,Accepted Info Materials?,Last Waterbody Visited,Last Waterbody Cleaned,Next Waterbody to Visit,Next Waterbody Cleaned,Planned Travel Route,Would Use a Decontamination Station?,Purpose,Notes,Prev_Step_BB,Prev_Step_CDD,Prev_Step_DB,Prev_Step_DRY,Prev_Step_LW,Prev_Step_None,Prev_Step_RW,Prev_Step_WB,Species_CLP,Species_CT,Species_EG,Species_EL,Species_EWM,Species_NP,Species_Other,Species_UNK,Species_VLM,Species_ZM,Prev_Loc1,Prev_Loc2,Prev_Loc3,Prev_Loc4,Prev_Loc5,Prev_Coord1,Prev_Coord2,Prev_Coord3,Prev_Coord4,Next_Loc1,Next_Loc2,Next_Loc3,Next_Coord1,Next_Coord2,Next_Coord3
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-22,0 days 09:45:00.000000000,M,3,NY,L,Y,CDD,N,,N,None,None,Lake Ontario,Lake Ontario,Rt 12E,Y,, Stays around Cape Vincent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,nan,nan,nan,nan,Lake Ontario,None,None,"(43.76012025, -77.68316035176696)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-22,0 days 10:55:00.000000000,M,2,NY,L,N,"WB,DB",N,,Y,St. Lawrence River,St. Lawrence River,St. Lawrence River,St. Lawrence River,Rt 12E,Y,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,St. Lawrence River,None,None,None,None,"(47.249291, -70.4316142)",nan,nan,nan,St. Lawrence River,None,None,"(47.249291, -70.4316142)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 11:00:00.000000000,M,2,NY,L,Y,CDD,N,,Y,St. Lawrence River,St. Lawrence River,Lake Ontario,Lake Ontario,Local roads,Y,, Only stays in the St. Lawrence and at this spot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Lawrence River,None,None,None,None,"(47.249291, -70.4316142)",nan,nan,nan,Lake Ontario,None,None,"(43.76012025, -77.68316035176696)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 11:05:00.000000000,M,2,NY,L,N,CDD,N,,Y,Millers Bay,"Millers Bay, NY",,,Local roads,Y,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Millers Bay, NY",None,None,None,None,"(43.3257297, -78.4657818)",nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 11:10:00.000000000,M,2,NY,R,N,CDD,N,,N,Lake Ontario,Lake Ontario,,,Rt 12 and Rt 26,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lake Ontario,None,None,None,None,"(43.76012025, -77.68316035176696)",nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 11:15:00.000000000,M,1,NY,R,Y,"DB,RW",N,,Y,St. Lawrence River,St. Lawrence River,Millers Bay,"Millers Bay, NY",James St,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,St. Lawrence River,None,None,None,None,"(47.249291, -70.4316142)",nan,nan,nan,"Millers Bay, NY",None,None,"(43.3257297, -78.4657818)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 14:10:00.000000000,M,1,NY,L,N,CDD,N,,Y,None,None,St. Lawrence River,St. Lawrence River,Local roads,,, Stays in St. Lawrence ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,nan,nan,nan,nan,St. Lawrence River,None,None,"(47.249291, -70.4316142)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 14:30:00.000000000,M,4,NY,R,Y,"RW,DB,WB",N,,N,St. Lawrence River,St. Lawrence River,Lake Ontario,Lake Ontario,Local roads,,, Stays at Cape Vincent,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,St. Lawrence River,None,None,None,None,"(47.249291, -70.4316142)",nan,nan,nan,Lake Ontario,None,None,"(43.76012025, -77.68316035176696)",nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear and breezy, choppy water",2016-06-23,0 days 14:50:00.000000000,M,2,NY,R,Y,CDD,Y,EL,Y,St. Lawrence River|Cape Vincent|Port Saubrigons,"St. Lawrence River|Cape Vincent, NY|Port Saubrigons, NY",,,Rt 12E and local rds,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,St. Lawrence River,"Cape Vincent, NY","Port Saubrigons, NY",None,None,"(47.249291, -70.4316142)","(44.125494, -76.33046406316765)",nan,nan,nan,nan,nan,nan,nan,nan
4,Cape Vincent,"(44.125494, -76.33046406316765)","Clear, breezy, water a little choppy",2016-06-24,0 days 10:45:00.000000000,M,2,NY,L,N,CDD,N,,Y,None,None,Clayton,"Clayton, NY",By Water,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,nan,nan,nan,nan,"Clayton, NY",None,None,"(44.239491, -76.085776)",nan,nan
