Steward,Boat Launch,Weather Conditions,Date,Inspection Time,Boat Type,Group Size,State of Registration,Launch or Retrieve,Prior BLS contact?,Spread Prevention Steps,Aquatic Organisms Found?,Species ID,Accepted Info Materials?,Last Waterbody Visited,Last Waterbody Cleaned,Next Waterbody to Visit,Next Waterbody Cleaned,Planned Travel Route,Would Use a Decontamination Station?,Purpose,Notes,prev_step_BB,prev_step_CDD,prev_step_DB,prev_step_DRY,prev_step_LW,prev_step_None,prev_step_RW,prev_step_WB,species_CLP,species_CT,species_EG,species_EL,species_EWM,species_NP,species_Other,species_UNK,species_VLM,species_ZM,Boat Launch Coords,Prev_Loc1,Prev_Loc2,Prev_Loc3,Prev_Loc4,Prev_Loc5,Prev_Coord1,Prev_Coord2,Prev_Coord3,Prev_Coord4,Next_Loc1,Next_Loc2,Next_Loc3,Next_Coord1,Next_Coord2,Next_Coord3
4,Cape Vincent,"Clear and breezy, choppy water",6/22/2016,9:45,M,3,NY,L,Y,CDD,N,,N,None,None,Lake Ontario,Lake Ontario,Rt 12E,Y,, Stays around Cape Vincent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",None,,,,,,,,,Lake Ontario,,,"(43.76012025, -77.68316035176696)",,
4,Cape Vincent,"Clear and breezy, choppy water",6/22/2016,10:55,M,2,NY,L,N,"WB,DB",N,,Y,St. Lawrence River,St. Lawrence River,St. Lawrence River,St. Lawrence River,Rt 12E,Y,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",St. Lawrence River,,,,,"(47.249291, -70.4316142)",,,,St. Lawrence River,,,"(47.249291, -70.4316142)",,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:00,M,2,NY,L,Y,CDD,N,,Y,St. Lawrence River,St. Lawrence River,Lake Ontario,Lake Ontario,Local roads,Y,, Only stays in the St. Lawrence and at this spot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",St. Lawrence River,,,,,"(47.249291, -70.4316142)",,,,Lake Ontario,,,"(43.76012025, -77.68316035176696)",,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:05,M,2,NY,L,N,CDD,N,,Y,Millers Bay,"Millers Bay, NY",,,Local roads,Y,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)","Millers Bay, NY",,,,,"(43.3257297, -78.4657818)",,,,,,,,,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:10,M,2,NY,R,N,CDD,N,,N,Lake Ontario,Lake Ontario,,,Rt 12 and Rt 26,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",Lake Ontario,,,,,"(43.76012025, -77.68316035176696)",,,,,,,,,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,11:15,M,1,NY,R,Y,"DB,RW",N,,Y,St. Lawrence River,St. Lawrence River,Millers Bay,"Millers Bay, NY",James St,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",St. Lawrence River,,,,,"(47.249291, -70.4316142)",,,,"Millers Bay, NY",,,"(43.3257297, -78.4657818)",,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,14:10,M,1,NY,L,N,CDD,N,,Y,None,None,St. Lawrence River,St. Lawrence River,Local roads,,, Stays in St. Lawrence ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",None,,,,,,,,,St. Lawrence River,,,"(47.249291, -70.4316142)",,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,14:30,M,4,NY,R,Y,"RW,DB,WB",N,,N,St. Lawrence River,St. Lawrence River,Lake Ontario,Lake Ontario,Local roads,,, Stays at Cape Vincent,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",St. Lawrence River,,,,,"(47.249291, -70.4316142)",,,,Lake Ontario,,,"(43.76012025, -77.68316035176696)",,
4,Cape Vincent,"Clear and breezy, choppy water",6/23/2016,14:50,M,2,NY,R,Y,CDD,Y,EL,Y,St. Lawrence River|Cape Vincent|Port Saubrigons,"St. Lawrence River|Cape Vincent, NY|Port Saubrigons, NY",,,Rt 12E and local rds,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",St. Lawrence River,"Cape Vincent, NY","Port Saubrigons, NY",,,"(47.249291, -70.4316142)","(44.125494, -76.33046406316765)","(None, None)",,,,,,,
4,Cape Vincent,"Clear, breezy, water a little choppy",6/24/2016,10:45,M,2,NY,L,N,CDD,N,,Y,None,None,Clayton,"Clayton, NY",By Water,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(44.125494, -76.33046406316765)",None,,,,,,,,,"Clayton, NY",,,"(44.239491, -76.085776)",,
